{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d20', 'Throws': 1, 'Total': 1}
{'Dices': '1d20', 'Throws': 19, 'Total': 19}
{'Dices': '1d20', 'Throws': 20, 'Total': 20}
{'Dices': '1d20', 'Throws': 16, 'Total': 16}
{'Dices': '5d20', 'Throws': '8, 6, 11, 11, 16', 'Total': 52}
{'Dices': '5d20', 'Throws': '17, 3, 15, 7, 1', 'Total': 43}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d20', 'Throws': 19, 'Total': 19}
{'Dices': '1d20', 'Throws': 15, 'Total': 15}
{'Dices': '1d20', 'Throws': 11, 'Total': 11}
{'Dices': '1d20', 'Throws': 15, 'Total': 15}
{'Dices': '1d20', 'Throws': 2, 'Total': 2}
{'Dices': '1d20', 'Throws': 7, 'Total': 7}
{'Dices': '1d20', 'Throws': 10, 'Total': 10}
{'Dices': '1d20', 'Throws': 9, 'Total': 9}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 18, 'Total': 18}
{'Dices': '1d20', 'Throws': 8, 'Total': 8}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 10, 'Total': 10}
{'Dices': '1d20', 'Throws': 9, 'Total': 9}
{'Dices': '1d20', 'Throws': 20, 'Total': 20}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 2, 'Total': 2}
{'Dices': '1d20', 'Throws': 17, 'Total': 17}
{'Dices': '1d20', 'Throws': 4, 'Total': 4}
{'Dices': '1d20', 'Throws': 16, 'Total': 16}
{'Dices': '1d20', 'Throws': 9, 'Total': 9}
{'Dices': '1d20', 'Throws': 7, 'Total': 7}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 15, 'Total': 15}
{'Dices': '1d20', 'Throws': 8, 'Total': 8}
{'Dices': '1d20', 'Throws': 12, 'Total': 12}
{'Dices': '1d4', 'Throws': 2, 'Total': 2}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 4, 'Total': 4}
{'Dices': '1d12', 'Throws': 4, 'Total': 4}
{'Dices': '1d12', 'Throws': 11, 'Total': 11}
{'Dices': '1d12', 'Throws': 2, 'Total': 2}
{'Dices': '1d12', 'Throws': 6, 'Total': 6}
{'Dices': '1d12', 'Throws': 7, 'Total': 7}
{'Dices': '1d12', 'Throws': 12, 'Total': 12}
{'Dices': '1d12', 'Throws': 9, 'Total': 9}
{'Dices': '1d12', 'Throws': 11, 'Total': 11}
{'Dices': '1d12', 'Throws': 11, 'Total': 11}
{'Dices': '1d12', 'Throws': 5, 'Total': 5}
{'Dices': '1d12', 'Throws': 6, 'Total': 6}
{'Dices': '1d12', 'Throws': 4, 'Total': 4}
{'Dices': '1d12', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d4', 'Throws': 3, 'Total': 3}
{'Dices': '1d4', 'Throws': 1, 'Total': 1}
{'Dices': '1d20', 'Throws': 2, 'Total': 2}
{'Dices': '1d20', 'Throws': 5, 'Total': 5}
{'Dices': '1d20', 'Throws': 18, 'Total': 18}
{'Dices': '1d20', 'Throws': 9, 'Total': 9}
{'Dices': '1d20', 'Throws': 13, 'Total': 13}
{'Dices': '1d20', 'Throws': 14, 'Total': 14}
